Company Name,Industry,Symbol,,,,,
ABB India Ltd.,Capital Goods,ABB,,,,,
Adani Energy Solutions Ltd.,Power,ADANIENSOL,,,,,
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,,,,,
Adani Green Energy Ltd.,Power,ADANIGREEN,,,,,
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,,,,,
Adani Power Ltd.,Power,ADANIPOWER,,,,,
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,,,,,
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,,,,,
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,,,,,
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,,,,,
Avenue Supermarts Ltd.,Consumer Services,DMART,,,,,
Axis Bank Ltd.,Financial Services,AXISBANK,,,,,
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,,,,,
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,,,,,
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,,,,,
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,,,,,
Bank of Baroda,Financial Services,BANKBARODA,,,,,
Bharat Electronics Ltd.,Capital Goods,BEL,,,,,
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,,,,,
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,,,,,
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,,,,,
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,,,,,
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,,,,,
Canara Bank,Financial Services,CANBK,,,,,
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,,,,,
Cipla Ltd.,Healthcare,CIPLA,,,,,
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,,,,,
DLF Ltd.,Realty,DLF,,,,,
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,,,,,
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,,,,,
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,,,,,
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,,,,,
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,,,,,
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,,,,,
Grasim Industries Ltd.,Construction Materials,GRASIM,,,,,
HCL Technologies Ltd.,Information Technology,HCLTECH,,,,,
HDFC Bank Ltd.,Financial Services,HDFCBANK,,,,,
